Month,TV,Instagram,YouTube,Facebook,Google Ads,X (Twitter),Influencers,Email,WhatsApp,Blogs,Total Consumers
Jan 2024,3000,4500,4000,2800,3600,1500,2200,900,1300,1000,21800
Feb 2024,2900,4600,3900,2700,3700,1400,2100,1000,1200,1100,21600
Mar 2024,3100,4800,4200,2900,3800,1600,2300,1100,1400,1200,23400
Apr 2024,3000,5000,4300,2800,3900,1700,2400,1000,1500,1300,23900
May 2024,3200,5100,4500,3000,4000,1800,2500,1100,1600,1200,25000
Jun 2024,3100,4900,4400,2900,4100,1600,2400,1200,1400,1100,24200
Jul 2024,3300,5300,4600,3100,4200,1900,2600,1300,1700,1300,26300
Aug 2024,3400,5400,4700,3200,4300,2000,2700,1200,1600,1400,27200
Sep 2024,3200,5200,4600,3000,4200,1800,2500,1100,1500,1200,25300
Oct 2024,3500,5500,4800,3300,4400,2100,2800,1200,1700,1500,28300
Nov 2024,3700,5700,4900,3400,4500,2200,2900,1300,1800,1400,29200
Dec 2024,3900,5900,5100,3500,4700,2300,3000,1400,1900,1600,30300
